Kick.Category,Name,Score,ClutchScore,scaled
20-29,Wil Lutz,0.9621074765920639,0.006189337079642199,0.341923365954564
20-29,Younghoe Koo,0.9565935174624125,6.753779499908408e-4,-0.3265748786689451
20-29,Zane Gonzalez,0.9597315589586893,0.003813419446267674,0.053873213616685116
30-39,Adam Vinatieri,0.8705512881278992,-0.002230305204946492,-0.5305651584363557
30-39,Aldrick Rosas,0.8847594323911165,0.011977839058270878,0.5473798930706497
30-39,Austin Seibert,0.8707409252723058,-0.0020406680605398186,-0.5161777467091043
30-39,Brandon McManus,0.8843406200408935,0.01155902670804787,0.5156053916249078
30-39,Brett Maher,0.893877020903996,0.02109542757115035,1.2391141010755153
30-39,Cairo Santos,0.8664948112434812,-0.0062867820893645066,-0.8383223928157303
30-39,Chris Boswell,0.8948974703487597,0.022115877015914,1.3165336717750993
30-39,Cody Parkey,0.8598573122705732,-0.012924281062272502,-1.341896894853396
30-39,Dan Bailey,0.8725292881329855,-2.523051998601922e-4,-0.38049803651928227
30-39,Daniel Carlson,0.8701987564563751,-0.00258283687647054,-0.557311070061326
30-39,Dustin Hopkins,0.8669367303018984,-0.005844863030947223,-0.8047948290915373
30-39,Graham Gano,0.8748373223675622,0.0020557290347165136,-0.2053918413836103
30-39,Greg Zuerlein,0.8946739981571833,0.02189240482433763,1.2995792589681574
30-39,Harrison Butker,0.8763223141431808,0.003540720810335185,-0.09272832203852532
30-39,Jake Elliott,0.8757563886188325,0.0029747952859868754,-0.13566402195762423
30-39,Jason Myers,0.883300289030998,0.010518695698152336,0.43667744415541637
30-39,Jason Sanders,0.8711464510244482,-0.0016351423083974526,-0.4854112743477424
30-39,Joey Slye,0.853801354765892,-0.018980238566953633,-1.8013509448244163
30-39,Josh Lambo,0.8593022402595071,-0.013479353073338585,-1.3840091592331805
30-39,Justin Tucker,0.8809683346748352,0.00818674134198949,0.25975647460462403
30-39,Ka'imi Fairbairn,0.8939523816108703,0.021170788278024655,1.244831575472473
30-39,Mason Crosby,0.8775161350214923,0.004734541688646621,-0.002155388351958689
30-39,Matt Bryant,0.8690498603714837,-0.0037317329613619776,-0.6444756445800857
30-39,Matt Gay,0.8979448676109314,0.025163274278085734,1.5477339424000376
30-39,Matt Prater,0.8791957213765099,0.006414128043664258,0.1252716539435684
30-39,Michael Badgley,0.9063535183668137,0.033571925033968,2.1856823826913816
30-39,Nick Folk,0.8571567071808709,-0.01562488615197477,-1.5467866987988401
30-39,Randy Bullock,0.8668983500936757,-0.00588324323917,-0.8077066629498587
30-39,Robbie Gould,0.8919106076161066,0.01912901428326097,1.0899260414929908
30-39,Rodrigo Blankenship,0.8880182981491089,0.015236704816263269,0.7946238787928251
