Kick Category,Name,Score,ClutchScore
20-29,Chris Boswell,0.9582419269963315,0.0023237874839098227
20-29,Cody Parkey,0.9707856595516204,0.014867520039198778
20-29,Dan Bailey,0.9586514383554459,0.002733298843024201
20-29,Daniel Carlson,0.9599118254802845,0.00399368596786287
20-29,Dustin Hopkins,0.9465236994955275,-0.009394440016894157
20-29,Graham Gano,0.9797809223333994,0.023862782820977757
20-29,Greg Zuerlein,0.9706452865349618,0.014727147022540188
20-29,Harrison Butker,0.967718346118927,0.011800206606505381
20-29,Jake Elliott,0.962338961660862,0.006420822148440308
20-29,Jason Myers,0.9455695477398959,-0.010348591772525784
20-29,Jason Sanders,0.9545813673420956,-0.0013367721703260171
20-29,Joey Slye,0.9571394835199628,0.0012213440075411475
20-29,Josh Lambo,0.9592179616292318,0.003299822116810125
20-29,Justin Tucker,0.9634976318249335,0.007579492312511871
20-29,Ka'imi Fairbairn,0.9536549837692924,-0.002263155743129297
20-29,Mason Crosby,0.9642890776906695,0.008370938178247855
20-29,Matt Bryant,0.944796371459961,-0.011121768052460679
20-29,Matt Gay,0.9468919975417001,-0.009026141970721602
20-29,Matt Prater,0.9659164029618968,0.009998263449475187
20-29,Michael Badgley,0.9485158994793892,-0.00740224003303247
20-29,Nick Folk,0.9730183124542237,0.017100172941801994
20-29,Randy Bullock,0.9534947946667671,-0.0024233448456545403
20-29,Robbie Gould,0.9604530836406507,0.004534944128229079
20-29,Rodrigo Blankenship,0.9687750471962823,0.012856907683860608
20-29,Ryan Succop,0.9498504479726155,-0.00606769153980613
20-29,Sam Ficken,0.9593851466973623,0.0034670071849406403
20-29,Stephen Gostkowski,0.9622766137123108,0.006358474199889108
20-29,Stephen Hauschka,0.9656468828519186,0.009728743339496915
20-29,Tyler Bass,0.9473609566688538,-0.008557182843567879
20-29,Wil Lutz,0.9621074765920639,0.006189337079642199
20-29,Younghoe Koo,0.9565935174624125,0.0006753779499908408
20-29,Zane Gonzalez,0.9597315589586893,0.003813419446267674
30-39,Adam Vinatieri,0.8705512881278992,-0.002230305204946492
30-39,Aldrick Rosas,0.8847594323911165,0.011977839058270878
30-39,Austin Seibert,0.8707409252723058,-0.0020406680605398186
30-39,Brandon McManus,0.8843406200408935,0.01155902670804787
30-39,Brett Maher,0.893877020903996,0.02109542757115035
30-39,Cairo Santos,0.8664948112434812,-0.0062867820893645066
30-39,Chris Boswell,0.8948974703487597,0.022115877015914
30-39,Cody Parkey,0.8598573122705732,-0.012924281062272502
30-39,Dan Bailey,0.8725292881329855,-0.0002523051998601922
30-39,Daniel Carlson,0.8701987564563751,-0.00258283687647054
30-39,Dustin Hopkins,0.8669367303018984,-0.005844863030947223
30-39,Graham Gano,0.8748373223675622,0.0020557290347165136
30-39,Greg Zuerlein,0.8946739981571833,0.02189240482433763
30-39,Harrison Butker,0.8763223141431808,0.003540720810335185
30-39,Jake Elliott,0.8757563886188325,0.0029747952859868754
30-39,Jason Myers,0.883300289030998,0.010518695698152336
30-39,Jason Sanders,0.8711464510244482,-0.0016351423083974526
30-39,Joey Slye,0.853801354765892,-0.018980238566953633
30-39,Josh Lambo,0.8593022402595071,-0.013479353073338585
30-39,Justin Tucker,0.8809683346748352,0.00818674134198949
30-39,Ka'imi Fairbairn,0.8939523816108703,0.021170788278024655
30-39,Mason Crosby,0.8775161350214923,0.004734541688646621
30-39,Matt Bryant,0.8690498603714837,-0.0037317329613619776
30-39,Matt Gay,0.8979448676109314,0.025163274278085734
30-39,Matt Prater,0.8791957213765099,0.006414128043664258
30-39,Michael Badgley,0.9063535183668137,0.033571925033968
30-39,Nick Folk,0.8571567071808709,-0.01562488615197477
30-39,Randy Bullock,0.8668983500936757,-0.00588324323917
30-39,Robbie Gould,0.8919106076161066,0.01912901428326097
30-39,Rodrigo Blankenship,0.8880182981491089,0.015236704816263269
30-39,Ryan Succop,0.894521951675415,0.021740358342569377
30-39,Sam Ficken,0.8729099971907479,0.0001284038579022484
30-39,Stephen Gostkowski,0.8754928497707143,0.0027112564378686255
30-39,Stephen Hauschka,0.8653361052274704,-0.007445488105375264
30-39,Tyler Bass,0.8515132814645767,-0.02126831186826894
30-39,Wil Lutz,0.881313626964887,0.008532033632041358
30-39,Younghoe Koo,0.8835149678316984,0.010733374498852699
30-39,Zane Gonzalez,0.888801122412962,0.01601952908011639
40-49,Adam Vinatieri,0.668620681220835,-0.03602097239330471
40-49,Aldrick Rosas,0.7518875267770555,0.04724587316291584
40-49,Austin Seibert,0.6583606089864459,-0.04628104462769378
